"","pathway_name","complex_ID","pathway_ID","top_level_pathway_ID","top_level_pathway_name","species"
"38","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","R-HSA-72576","R-HSA-72662","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"39","Activation of the phototransduction cascade","R-HSA-2581511","R-HSA-2485179","R-HSA-9709957","Sensory Perception","Homo sapiens (Human)"
"40","Activation of the pre-replicative complex","R-HSA-156502","R-HSA-68962","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"41","Activation of the pre-replicative complex","R-HSA-156502","R-HSA-68962","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"42","Activation of the TFAP2 (AP-2) family of transcription factors","R-HSA-8864283","R-HSA-8866907","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"43","Acyl chain remodelling of PC","R-HSA-1500626","R-HSA-1482788","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"44","Acyl chain remodelling of PE","R-HSA-1500626","R-HSA-1482839","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"45","Acyl chain remodelling of PG","R-HSA-1500626","R-HSA-1482925","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"46","Acyl chain remodelling of PI","R-HSA-1500626","R-HSA-1482922","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"47","Acyl chain remodelling of PS","R-HSA-1500626","R-HSA-1482801","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"48","Adaptive Immune System",NA,NA,NA,NA,NA
"49","Adenylate cyclase activating pathway","R-HSA-170655","R-HSA-170660","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"50","Adenylate cyclase inhibitory pathway","R-HSA-170656","R-HSA-170670","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"51","Adenylate cyclase inhibitory pathway","R-HSA-170656","R-HSA-170670","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"52","Adherens junctions interactions","R-HSA-201857","R-HSA-418990","R-HSA-1500931","Cell-Cell communication","Homo sapiens (Human)"
"53","ADORA2B mediated anti-inflammatory cytokines production","R-HSA-111922","R-HSA-9660821","R-HSA-1643685","Disease","Homo sapiens (Human)"
"54","ADP signalling through P2Y purinoceptor 1","R-HSA-114534","R-HSA-418592","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"55","ADP signalling through P2Y purinoceptor 12","R-HSA-167434","R-HSA-392170","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"56","Adrenaline,noradrenaline inhibits insulin secretion","R-HSA-265559","R-HSA-400042","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"57","Advanced glycosylation endproduct receptor signaling","R-ALL-879479","R-HSA-879415","R-HSA-168256","Immune System","General (all species)"
"58","Advanced glycosylation endproduct receptor signaling","R-HSA-879365","R-HSA-879415","R-HSA-168256","Immune System","Homo sapiens (Human)"
"59","Aflatoxin activation and detoxification","R-ALL-5423670","R-HSA-5423646","R-HSA-1430728","Metabolism","General (all species)"
"60","Aflatoxin activation and detoxification","R-HSA-1247898","R-HSA-5423646","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"61","Aggrephagy","R-HSA-1221657","R-HSA-9646399","R-HSA-9612973","Autophagy","Homo sapiens (Human)"
"62","AKT phosphorylates targets in the cytosol",NA,NA,NA,NA,NA
"63","ALK mutants bind TKIs","R-HSA-9699976","R-HSA-9700645","R-HSA-1643685","Disease","Homo sapiens (Human)"
"64","Alpha-defensins","R-HIV-173652","R-HSA-1462054","R-HSA-168256","Immune System","Human Immunodeficiency Virus"
"65","Alpha-defensins","R-HSA-1461970","R-HSA-1462054","R-HSA-168256","Immune System","Homo sapiens (Human)"
"66","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",NA,NA,NA,NA,NA
"67","alpha-linolenic acid (ALA) metabolism","R-HSA-2046075","R-HSA-2046106","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"68","Alpha-protein kinase 1 signaling pathway","R-HSA-450277","R-HSA-9645460","R-HSA-168256","Immune System","Homo sapiens (Human)"
"69","Amine ligand-binding receptors","R-HSA-391202","R-HSA-375280","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"70","Amino acid transport across the plasma membrane","R-HSA-352162","R-HSA-352230","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"71","Amino acids regulate mTORC1","R-HSA-165189","R-HSA-9639288","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"72","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","R-HSA-141427","R-HSA-141444","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"73","Amplification of signal from the kinetochores",NA,NA,NA,NA,NA
"74","Amyloid fiber formation","R-HSA-157186","R-HSA-977225","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"75","Anchoring fibril formation","R-HSA-2022124","R-HSA-2214320","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"76","Anchoring of the basal body to the plasma membrane","R-HSA-5623431","R-HSA-5620912","R-HSA-1852241","Organelle biogenesis and maintenance","Homo sapiens (Human)"
"77","Androgen biosynthesis","R-HSA-196336","R-HSA-193048","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"78","Anti-inflammatory response favouring Leishmania parasite infection",NA,NA,NA,NA,NA
"79","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers","R-HSA-1045152","R-HSA-983695","R-HSA-168256","Immune System","Homo sapiens (Human)"
"80","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","R-COV-9755345","R-HSA-983170","R-HSA-168256","Immune System","Human SARS coronavirus"
"81","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","R-HSA-167755","R-HSA-983170","R-HSA-168256","Immune System","Homo sapiens (Human)"
"82","Antigen processing-Cross presentation",NA,NA,NA,NA,NA
"83","Antigen processing: Ubiquitination & Proteasome degradation","R-HSA-180596","R-HSA-983168","R-HSA-168256","Immune System","Homo sapiens (Human)"
"84","Antimicrobial peptides","R-ALL-6788991","R-HSA-6803157","R-HSA-168256","Immune System","General (all species)"
"85","Antimicrobial peptides","R-HSA-1602363","R-HSA-6803157","R-HSA-168256","Immune System","Homo sapiens (Human)"
"86","Antiviral mechanism by IFN-stimulated genes",NA,NA,NA,NA,NA
"87","APC truncation mutants have impaired AXIN binding","R-HSA-196206","R-HSA-5467337","R-HSA-1643685","Disease","Homo sapiens (Human)"
"88","APC-Cdc20 mediated degradation of Nek2A","R-HSA-141410","R-HSA-179409","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"89","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",NA,NA,NA,NA,NA
"90","APC/C-mediated degradation of cell cycle proteins",NA,NA,NA,NA,NA
"91","APC/C:Cdc20 mediated degradation of Cyclin B","R-HSA-157456","R-HSA-174048","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"92","APC/C:Cdc20 mediated degradation of mitotic proteins","R-HSA-141410","R-HSA-176409","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"93","APC/C:Cdc20 mediated degradation of Securin","R-HSA-174081","R-HSA-174154","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"94","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","R-HSA-174107","R-HSA-174178","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"95","Apoptosis",NA,NA,NA,NA,NA
"96","Apoptosis induced DNA fragmentation","R-HSA-211192","R-HSA-140342","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"97","Apoptotic cleavage of cell adhesion  proteins","R-HSA-350870","R-HSA-351906","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"98","Apoptotic cleavage of cellular proteins","R-HSA-141643","R-HSA-111465","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"99","Apoptotic execution phase","R-HSA-139950","R-HSA-75153","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"100","Apoptotic factor-mediated response","R-HSA-9645693","R-HSA-111471","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"101","Aquaporin-mediated transport",NA,NA,NA,NA,NA
"102","Arachidonic acid metabolism",NA,NA,NA,NA,NA
"103","Asparagine N-linked glycosylation","R-HSA-264889","R-HSA-446203","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"104","Aspartate and asparagine metabolism","R-HSA-507865","R-HSA-8963693","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"105","Aspirin ADME","R-HSA-5693667","R-HSA-9749641","R-HSA-9748784","Drug ADME","Homo sapiens (Human)"
"106","Assembly and cell surface presentation of NMDA receptors","R-HSA-190509","R-HSA-9609736","R-HSA-112316","Neuronal System","Homo sapiens (Human)"
"107","Assembly of active LPL and LIPC lipase complexes","R-HSA-174592","R-HSA-8963889","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"108","Assembly of collagen fibrils and other multimeric structures","R-HSA-1637802","R-HSA-2022090","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"109","Assembly Of The HIV Virion","R-HIV-174985","R-HSA-175474","R-HSA-1643685","Disease","Human Immunodeficiency Virus"
"110","Assembly Of The HIV Virion","R-HSA-3149449","R-HSA-175474","R-HSA-1643685","Disease","Homo sapiens (Human)"
"111","Assembly of the ORC complex at the origin of replication","R-HSA-9734662","R-HSA-68616","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"112","Assembly of the pre-replicative complex","R-HSA-156502","R-HSA-68867","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"113","Association of TriC/CCT with target proteins during biosynthesis","R-HSA-390455","R-HSA-390471","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"114","Asymmetric localization of PCP proteins","R-HSA-4608811","R-HSA-4608870","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"115","ATF4 activates genes in response to endoplasmic reticulum  stress","R-HSA-381204","R-HSA-380994","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"116","ATF6 (ATF6-alpha) activates chaperone genes","R-HSA-381204","R-HSA-381183","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"117","ATF6 (ATF6-alpha) activates chaperones","R-HSA-381062","R-HSA-381033","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"118","Attachment and Entry","R-COV-9683649","R-HSA-9678110","R-HSA-1643685","Disease","Human SARS coronavirus"
"119","Attachment and Entry","R-HSA-9681532","R-HSA-9678110","R-HSA-1643685","Disease","Homo sapiens (Human)"
"120","Attenuation phase","R-HSA-3371426","R-HSA-3371568","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"121","AUF1 (hnRNP D0) binds and destabilizes mRNA","R-HSA-450375","R-HSA-450408","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"122","AURKA Activation by TPX2","R-HSA-2574827","R-HSA-8854518","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"123","Autodegradation of Cdh1 by Cdh1:APC/C","R-HSA-174068","R-HSA-174084","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"124","Autodegradation of the E3 ubiquitin ligase COP1","R-HSA-349420","R-HSA-349425","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"125","Autophagy",NA,NA,NA,"Autophagy",NA
"126","AXIN missense mutants destabilize the destruction complex","R-HSA-196206","R-HSA-5467340","R-HSA-1643685","Disease","Homo sapiens (Human)"
"127","Axon guidance",NA,NA,NA,NA,NA
"128","Azathioprine ADME","R-HSA-111583","R-HSA-9748787","R-HSA-9748784","Drug ADME","Homo sapiens (Human)"
"129","B-WICH complex positively regulates rRNA expression","R-HSA-427402","R-HSA-5250924","R-HSA-74160","Gene expression (Transcription)","Homo sapiens (Human)"
"130","Base Excision Repair",NA,NA,NA,NA,NA
"131","Base-Excision Repair, AP Site Formation",NA,NA,NA,NA,NA
"132","Basigin interactions","R-HSA-204396","R-HSA-210991","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"133","BBSome-mediated cargo-targeting to cilium","R-HSA-5617794","R-HSA-5620922","R-HSA-1852241","Organelle biogenesis and maintenance","Homo sapiens (Human)"
"134","Beta defensins","R-HSA-1471343","R-HSA-1461957","R-HSA-168256","Immune System","Homo sapiens (Human)"
"135","Beta-catenin independent WNT signaling",NA,NA,NA,NA,NA
"136","Beta-catenin phosphorylation cascade","R-HSA-1226052","R-HSA-196299","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"137","Beta-oxidation of very long chain fatty acids","R-HSA-382579","R-HSA-390247","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"138","Bicarbonate transporters",NA,NA,NA,NA,NA
"139","Bile acid and bile salt metabolism",NA,NA,NA,NA,NA
"140","Binding and Uptake of Ligands by Scavenger Receptors",NA,NA,NA,NA,NA
"141","Biological oxidations",NA,NA,NA,NA,NA
"142","Biosynthesis of DHA-derived SPMs","R-HSA-2142793","R-HSA-9018677","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"143","Biosynthesis of specialized proresolving mediators (SPMs)",NA,NA,NA,NA,NA
"144","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","R-HSA-449326","R-HSA-446193","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"145","Biotin transport and metabolism","R-HSA-2993798","R-HSA-196780","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"146","Blood group systems biosynthesis",NA,NA,NA,NA,NA
"147","BMAL1:CLOCK,NPAS2 activates circadian gene expression",NA,NA,NA,NA,NA
"148","Branched-chain amino acid catabolism","R-HSA-508309","R-HSA-70895","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"149","Budding and maturation of HIV virion","R-HIV-171283","R-HSA-162588","R-HSA-1643685","Disease","Human Immunodeficiency Virus"
"150","Budding and maturation of HIV virion","R-HSA-175514","R-HSA-162588","R-HSA-1643685","Disease","Homo sapiens (Human)"
"151","Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA","R-HSA-429971","R-HSA-450385","R-HSA-8953854","Metabolism of RNA","Homo sapiens (Human)"
"152","Butyrophilin (BTN) family interactions","R-HSA-8851039","R-HSA-8851680","R-HSA-168256","Immune System","Homo sapiens (Human)"
"153","C-type lectin receptors (CLRs)",NA,NA,NA,NA,NA
"154","Ca-dependent events",NA,NA,NA,NA,NA
"155","Ca2+ pathway","R-HSA-167434","R-HSA-4086398","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"156","Calcineurin activates NFAT","R-HSA-2025899","R-HSA-2025928","R-HSA-168256","Immune System","Homo sapiens (Human)"
"157","Calcitonin-like ligand receptors","R-HSA-419782","R-HSA-419812","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"158","Calmodulin induced events","R-HSA-111965","R-HSA-111933","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"159","Calnexin/calreticulin cycle","R-HSA-532671","R-HSA-901042","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"160","CaM pathway","R-HSA-74294","R-HSA-111997","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"161","CaMK IV-mediated phosphorylation of CREB","R-HSA-111904","R-HSA-111932","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"162","Cap-dependent Translation Initiation",NA,NA,NA,NA,NA
"163","Carboxyterminal post-translational modifications of tubulin","R-HSA-190509","R-HSA-8955332","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"164","Cardiac conduction",NA,NA,NA,NA,NA
"165","Cargo concentration in the ER","R-HSA-203975","R-HSA-5694530","R-HSA-392499","Metabolism of proteins","Homo sapiens (Human)"
"166","Cargo concentration in the ER","R-HSA-203975","R-HSA-5694530","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"167","Cargo recognition for clathrin-mediated endocytosis","R-HSA-167712","R-HSA-8856825","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"168","Cargo trafficking to the periciliary membrane","R-HSA-190512","R-HSA-5620920","R-HSA-1852241","Organelle biogenesis and maintenance","Homo sapiens (Human)"
"169","Carnitine metabolism",NA,NA,NA,NA,NA
"170","CASP8 activity is inhibited","R-HSA-140935","R-HSA-5218900","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"171","Caspase activation via Death Receptors in the presence of ligand","R-HSA-139950","R-HSA-140534","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"172","Caspase activation via Dependence Receptors in the absence of ligand","R-HSA-141640","R-HSA-418889","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"173","Caspase activation via extrinsic apoptotic signalling pathway",NA,NA,NA,NA,NA
"174","Caspase-mediated cleavage of cytoskeletal proteins","R-HSA-139950","R-HSA-264870","R-HSA-5357801","Programmed Cell Death","Homo sapiens (Human)"
"175","CD209 (DC-SIGN) signaling","R-HSA-109783","R-HSA-5621575","R-HSA-168256","Immune System","Homo sapiens (Human)"
"176","CD28 co-stimulation",NA,NA,NA,NA,NA
"177","CD28 dependent PI3K/Akt signaling","R-COV-9694702","R-HSA-389357","R-HSA-168256","Immune System","Human SARS coronavirus"
"178","CD28 dependent PI3K/Akt signaling","R-HSA-179787","R-HSA-389357","R-HSA-168256","Immune System","Homo sapiens (Human)"
"179","CD28 dependent Vav1 pathway","R-HSA-179787","R-HSA-389359","R-HSA-168256","Immune System","Homo sapiens (Human)"
"180","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","R-HSA-141410","R-HSA-174184","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"181","CDC42 GTPase cycle","R-HSA-182921","R-HSA-9013148","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"182","CDK-mediated phosphorylation and removal of Cdc6","R-HSA-174181","R-HSA-69017","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"183","CDK-mediated phosphorylation and removal of Cdc6","R-HSA-174181","R-HSA-69017","R-HSA-69306","DNA Replication","Homo sapiens (Human)"
"184","Cell Cycle",NA,NA,NA,"Cell Cycle",NA
"185","Cell Cycle Checkpoints",NA,NA,NA,NA,NA
"186","Cell Cycle, Mitotic",NA,NA,NA,NA,NA
"187","Cell death signalling via NRAGE, NRIF and NADE",NA,NA,NA,NA,NA
"188","Cell junction organization",NA,NA,NA,NA,NA
"189","Cell recruitment (pro-inflammatory response)",NA,NA,NA,NA,NA
"190","Cell surface interactions at the vascular wall","R-HSA-114575","R-HSA-202733","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"191","Cell-Cell communication",NA,NA,NA,"Cell-Cell communication",NA
"192","Cell-cell junction organization",NA,NA,NA,NA,NA
"193","Cell-extracellular matrix interactions","R-HSA-201857","R-HSA-446353","R-HSA-1500931","Cell-Cell communication","Homo sapiens (Human)"
"194","Cellular hexose transport","R-HSA-450089","R-HSA-189200","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"195","Cellular response to chemical stress",NA,NA,NA,NA,NA
"196","Cellular response to heat stress",NA,NA,NA,NA,NA
"197","Cellular response to hypoxia","R-HSA-1235007","R-HSA-1234174","R-HSA-8953897","Cellular responses to stimuli","Homo sapiens (Human)"
"198","Cellular response to starvation",NA,NA,NA,NA,NA
"199","Cellular responses to stimuli",NA,NA,NA,"Cellular responses to stimuli",NA
"200","Cellular responses to stress",NA,NA,NA,NA,NA
"201","Cellular Senescence",NA,NA,NA,NA,NA
"202","Centrosome maturation",NA,NA,NA,NA,NA
"203","cGMP effects","R-HSA-418378","R-HSA-418457","R-HSA-109582","Hemostasis","Homo sapiens (Human)"
"204","Chaperone Mediated Autophagy","R-HSA-9615717","R-HSA-9613829","R-HSA-9612973","Autophagy","Homo sapiens (Human)"
"205","Chaperonin-mediated protein folding",NA,NA,NA,NA,NA
"206","Chemokine receptors bind chemokines","R-HSA-3296272","R-HSA-380108","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"207","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","R-HSA-170065","R-HSA-75035","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"208","Cholesterol biosynthesis","R-HSA-191277","R-HSA-191273","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"209","Chondroitin sulfate biosynthesis",NA,NA,NA,NA,NA
"210","Chondroitin sulfate/dermatan sulfate metabolism",NA,NA,NA,NA,NA
"211","Chromatin modifying enzymes","R-HSA-1183170","R-HSA-3247509","R-HSA-4839726","Chromatin organization","Homo sapiens (Human)"
"212","Chromatin organization",NA,NA,NA,"Chromatin organization",NA
"213","Chromosome Maintenance",NA,NA,NA,NA,NA
"214","Chylomicron assembly","R-HSA-174626","R-HSA-8963888","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"215","Chylomicron remodeling","R-HSA-174592","R-HSA-8963901","R-HSA-382551","Transport of small molecules","Homo sapiens (Human)"
"216","Cilium Assembly",NA,NA,NA,NA,NA
"217","Circadian Clock",NA,NA,NA,NA,NA
"218","Citric acid cycle (TCA cycle)","R-HSA-156625","R-HSA-71403","R-HSA-1430728","Metabolism","Homo sapiens (Human)"
"219","Class A/1 (Rhodopsin-like receptors)","R-HSA-3296289","R-HSA-373076","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"220","Class B/2 (Secretin family receptors)","R-HSA-420503","R-HSA-373080","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"221","Class C/3 (Metabotropic glutamate/pheromone receptors)","R-HSA-3299631","R-HSA-420499","R-HSA-162582","Signal Transduction","Homo sapiens (Human)"
"222","Class I MHC mediated antigen processing & presentation",NA,NA,NA,NA,NA
"223","Class I peroxisomal membrane protein import","R-HSA-9603787","R-HSA-9603798","R-HSA-9609507","Protein localization","Homo sapiens (Human)"
"224","Clathrin-mediated endocytosis","R-HSA-167712","R-HSA-8856828","R-HSA-5653656","Vesicle-mediated transport","Homo sapiens (Human)"
"225","Cleavage of the damaged purine","R-HSA-110185","R-HSA-110331","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"226","Cleavage of the damaged pyrimidine ","R-HSA-110150","R-HSA-110329","R-HSA-73894","DNA Repair","Homo sapiens (Human)"
"227","CLEC7A (Dectin-1) induces NFAT activation","R-HSA-169696","R-HSA-5607763","R-HSA-168256","Immune System","Homo sapiens (Human)"
"228","CLEC7A (Dectin-1) signaling","R-HSA-168113","R-HSA-5607764","R-HSA-168256","Immune System","Homo sapiens (Human)"
"229","Cobalamin (Cbl, vitamin B12) transport and metabolism",NA,NA,NA,NA,NA
"230","Cohesin Loading onto Chromatin","R-HSA-1641505","R-HSA-2470946","R-HSA-1640170","Cell Cycle","Homo sapiens (Human)"
"231","Collagen biosynthesis and modifying enzymes","R-HSA-1614447","R-HSA-1650814","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"232","Collagen chain trimerization","R-HSA-2025669","R-HSA-8948216","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
"233","Collagen degradation","R-HSA-1637802","R-HSA-1442490","R-HSA-1474244","Extracellular matrix organization","Homo sapiens (Human)"
